﻿Item Code;註記 (Notes);(箱)長 (Length Carton) cm;(箱)寬 (Width) cm;(箱)高 (Heigth) cm;(箱)重量 (Weigth);箱入數 (Number of Cartons);板入數 (Number of Pallets);庫存量 (Inventory Quantity);庫存單位 (Inventory Unit);庫存換算(箱) (Inventory Conversion (Carton));目前庫存 (Current Inventory) (PCS);Notes;Notes_EN
10001007001;黑松汽水-600毫升;42;28;24;15,97;24.0;54;364;PCS;15,2;56.0;;Black Pine Soda-600ml
10001008001;黑松汽水2L;34;22;31;13,02;6.0;65;2528;PCS;421,4;457.0;;Black Pine Soda 2L
10001009001;黑松沙士245ml;40;27;10;6,77;24.0;135;67480;PCS;2811,7;3098.0;;Black pine root beer 245ml
10001010001;雪碧汽水1250ml;37;28;29;11,02;12.0;55;811;PCS;67,6;315.0;;Sprite soda 1250ml
10001012001;雪碧汽水Can 250 ml;40;27;10;6,79;24.0;130;27655;PCS;1152,3;5088.0;;Sprite Soda Can 250 ml
10001014001;雪碧易開罐235ml;34;22;14;6,55;24.0;135;2523;PCS;105,2;1968.0;;Sprite easy-open can 235ml
10001015001;雪碧汽水600ml;45;30;24;15,6;24.0;54;3368;PCS;140,4;512.0;;Sprite soda 600ml
10001020001;黑松CC檸檬氣泡飲can 330ml;41;27;12;8,58;24.0;99;2834;PCS;118,1;390.0;;Black Pine CC Lemon Sparkling Drink can 330ml
10001022001;黑松CC檸檬氣泡飲PET 500ml;42;28;23;13,81;24.0;63;1544;PCS;64,4;588.0;;Black Pine CC Lemon Sparkling Drink PET 500ml
10001025001;黑松汽水Can 245ml;40;27;10;6,8;24.0;135;6816;PCS;284;3648.0;;Black Pine Soda Can 245ml
10001035001;黑松CC氣泡飲葡萄 500ml;42;28;23;13,682;24.0;63;1204;PCS;50,2;664.0;;Black Pine CC Sparkling Drink Grape 500ml
10001041001;Mountain Dew 激浪汽水 500ml;42;28;26;15,55;24.0;54;327;PCS;13,7;412.0;;Mountain Dew Mountain Dew Soda 500ml
10001042001;雪碧纖維+ Can 330ml;40;27;13;8,64;24.0;100;2184;PCS;91;4.0;;Sprite Fiber+ Can 330ml
10001043001;雪碧纖維+ Pet 600ml;45;30;24;15,7;24.0;54;4464;PCS;186;304.0;;Sprite Fiber + Pet 600ml
10001044001;黑松CC乳酸菌氣泡飲 510ml;40;27;25;13,748;24.0;66;376;PCS;15,7;11.0;;Black Pine CC Lactobacillus Sparkling Drink 510ml
10002001001;維他露P 250ml;41;28;10;6,82;24.0;130;38657;PCS;1610,8;2904.0;;Vital P 250ml
10002003001;黑松加鹽沙士600 ml;43;28;24;16,03;24.0;54;4236;PCS;176,5;568.0;;Black pine root beer with salt 600 ml
10002005001;蘋果西打330ml;40;27;13;9,56;24.0;90;9576;PCS;399;1860.0;;Apple Cider 330ml
10002006001;蘋果西打2L;34;23;31;13,37;6.0;60;1664;PCS;277,4;367.0;;Apple West 2L
10002007001;芬達橘子汽水330ml;40;28;12;8,89;24.0;100;6204;PCS;258,5;2694.0;;Fanta orange soda 330ml
10002008001;加鹽黑松沙士Can245ml;40;27;10;6,8;24.0;135;11857;PCS;494,1;912.0;;Salted black pine root beer Can245ml
10002009001;黑松沙士600 ml;43;28;24;16,02;24.0;54;11015;PCS;459;1352.0;;Black pine root beer 600 ml
10002010001;維大力汽水255 ml;40;27;10;6,77;24.0;135;19820;PCS;825,9;1080.0;;Victoria's soda 255 ml
10002011001;金車麥根沙士PET585ml;42;28;24;15,72;24.0;54;599;PCS;25;52.0;;Jinche root beer PET 585ml
10002012001;維他露P 330 ml;41;27;13;8,78;24.0;99;2016;PCS;84;54.0;;Vitalol P 330 ml
10002013001;AW 麥根沙士;40;13;13;4,69;12.0;189;69;PCS;5,8;216.0;;AW root beer
10002014001;維大力汽水Can330ml;41;27;13;9,53;24.0;90;6426;PCS;267,8;756.0;;Victoria Soda Can 330ml
10002017001;黑松沙士2L;34;22;31;13,03;6.0;65;8437;PCS;1406,2;656.0;;Black pine root beer 2L
10002018001;黑松沙士330ml;41;27;12;9,27;24.0;99;49336;PCS;2055,7;1452.0;;Black pine root beer 330ml
10002019001;維大力加鹽沙士Can330 ml;41;27;13;9,34;24.0;90;28103;PCS;1171;2820.0;;Victoria's Salted Root Beer Can 330 ml
10002021001;蘋果西打-250ml;40;27;9;6,99;24.0;120;15832;PCS;659,7;1032.0;;Apple Cider-250ml
10002025001;黑松沙士1250 ml;38;28;30;16,2;12.0;55;1735;PCS;144,6;1028.0;;Black pine root beer 1250 ml
10002026001;芬達汽水橘子口味600ml;31;22;24;7,84;12.0;105;460;PCS;38,4;84.0;;Fanta soda orange flavor 600ml
10002035001;維大力汽水2L;34;23;31;13,44;6.0;65;1742;PCS;290,4;451.0;;Victoria's soda 2L
10002037001;七星藍莓汽泡香檳飲料750ml;35;27;32;17,1;12.0;44;40,33333333;PCS;3,4;12.0;;Seven Stars Blueberry Sparkling Champagne Drink 750ml
10002038001;七星紅葡萄氣泡香檳飲料750ml;35;27;32;17,1;12.0;44;83,33333333;PCS;7;15.0;;Seven Star Red Grape Sparkling Champagne Drink 750ml
10002039001;七星白葡萄汽泡香檳飲料750 ml;35;27;32;17,13;12.0;44;171,6666667;PCS;14,4;34.0;;Seven Stars White Grape Sparkling Champagne Drink 750 ml
10002040001;芬達橘子汽水2L;34;23;31;13,1;6.0;65;1104;PCS;184;201.0;;Fanta orange soda 2L
10002045001;黑松加鹽沙士2L;34;22;30;12,96;6.0;65;1591;PCS;265,2;829.0;;Black pine and salt root beer 2L
10002046001;金車麥根沙士can330ml;43;29;12;8,82;24.0;99;13349;PCS;556,3;228.0;;Jinche root beer can330ml
10002051001;維他露P 2L;34;23;31;13,23;6.0;65;783;PCS;130,5;97.0;;Vitalol P 2L
10002069001;金車麥根沙士Pet 2000ml;34;23;30;13,28;6.0;65;362;PCS;60,4;122.0;;King Car Root Root Beef Pet 2000ml
10002071001;金車奧利多水Pet585ml;42;28;25;15,95;24.0;54;1409;PCS;58,8;556.0;;Jinche Oriduo Water Pet585ml
10002072001;金車奧利多水Pet2000ml;34;23;30;13,3;6.0;65;971;PCS;161,9;44.0;;Jinche Oriduo Water Pet2000ml
10002073001;微舒打葡萄can320ml;41;27;12;8,64;24.0;99;3614;PCS;150,6;0.0;;Weishuda grape can 320ml
10002074001;蘋果西打1250ml;36;27;28;17;12.0;55;1783;PCS;148,6;568.0;;Apple Cider 1250ml
10002078001;金車冰淇淋汽水Pet 2000ml;34;23;30;13,31;6.0;65;168;PCS;28;18.0;;King Car Ice Cream Soda Pet 2000ml
10002102001;維大力零熱量汽水 330ml;40;27;12;9;24.0;99;23357;PCS;973,3;3384.0;;Victoria's Zero Calorie Soda 330ml
10002899001;黑松加鹽沙士330 ml;41;27;12;8,588;24.0;99;5704;PCS;237,7;894.0;;Black pine root beer with salt 330 ml
10002906001;美粒果蘋果蘇打Pet 500ml;42;29;22;13,2;24.0;63;1149;PCS;47,9;760.0;;Meiliguo Apple Soda Pet 500ml
10002907001;美粒果蘋果蘇打Can 330ml;40;27;12;8,81;24.0;100;10301;PCS;429,3;804.0;;Meiliguo Apple Soda Can 330ml
10002911001;樹頂蘋果氣泡飲320ml;40;27;12;8,7;24.0;99;1979;PCS;82,5;0.0;;Tree Top Apple Sparkling Drink 320ml
10002915001;黑松CC氣泡飲王林蘋果風味 500ml;43;27;22;13,932;24.0;63;517,3333333;PCS;21,6;52.0;;Heisong CC Sparkling Drink Wanglin Apple Flavor 500ml
10002916001;美粒果蘋果蘇打1250ml;27;27;30;16,2;12.0;55;1031;PCS;86;809.0;;Meiliguo Apple Soda 1250ml
10002917001;黑松蘋果蘇打富士蘋果風味2000ml;34;22;31;13,2;6.0;65;662,3333333;PCS;110,4;175.0;;Black Pine Apple Soda Fuji Apple Flavor 2000ml
10002918001;維大力蘋果風味氣水2000ml;35;23;31;13,45;6.0;65;55,33333333;PCS;9,3;0.0;;Vidali apple flavored sparkling water 2000ml
10002919001;維大力白葡萄風味氣水2000ml;35;23;31;13,46;6.0;65;202;PCS;33,7;0.0;;Vidali white grape flavored sparkling water 2000ml
10002924001;英國Barr覆盆子風味無糖飲料;40;26;12;8,43;24.0;100;145;PCS;6,1;24.0;;British Barr raspberry flavored sugar-free drink
10002925001;維他露大蘋果蘇打250ml;41;27;10;7,75;24.0;108;8674;PCS;361,5;;;Vitalol Big Apple Soda 250ml
10002926001;維他露大蘋果蘇打 2000ml;35;23;31;13,21;6.0;65;488;PCS;81,4;;;Vitalol Big Apple Soda 2000ml
10002931001;舒味思葡萄柚口味汽水 330ml;40;28;12;8,8;24.0;100;1479;PCS;61,7;;;Comfort grapefruit flavored soda 330ml
10002942001;黑松CC氣泡飲蘋果口味330ml;40;28;12;8,91;24.0;99;778;PCS;32,5;330.0;;Black Pine CC Sparkling Drink Apple Flavor 330ml
10002943001;維大力白葡萄風味氣水330ml;44;27;12;8,82;24.0;90;6602;PCS;275,1;408.0;;Vidali white grape flavored sparkling water 330ml
10002944001;維大力蘋果風味氣水330ml;44;27;12;8,82;24.0;90;5844;PCS;243,5;372.0;;Vidali apple flavored sparkling water 330ml
10002990001;維他露大蘋果蘇打 330ml;41;27;12;8,87;24.0;100;0;PCS;0;240.0;;Vitalol Big Apple Soda 330ml
10002992001;黑松蘋安福氣組 460mlx12;27;19;23;6,27;1.0;108;0;PCS;0;81.0;;Black Pine Pingan Blessing Group 460mlx12
10010001001;波蜜一日蔬果100蔬果汁 250ml;32;17;14;5,09;18.0;180;3405;PCS;189,2;6.0;;Bomi One Day Fruit and Vegetable 100 Vegetable Juice 250ml
10010002001;波蜜果菜汁TP250ml;35;20;11;6,63;24.0;140;59886;PCS;2495,3;5586.0;;Pome fruit and vegetable juice TP250ml
10010004001;紅牌速纖纖維飲料TP250ml;35;20;11;6,73;24.0;140;30886;PCS;1287;6162.0;;Red brand speed fiber drink TP250ml
10010005001;義美寶吉蔬果汁葡萄莓果 250ml;35;20;13;6,73;24.0;135;642;PCS;26,8;0.0;;Yimei Baoji Vegetable Juice Grape Berry 250ml
10010007001;100紫色蔬果汁TP250ml;32;17;14;5,09;18.0;180;1445;PCS;80,3;0.0;;100 purple vegetable juice TP250ml
10010009001;波蜜BCE果菜汁Pet580ml;42;28;24;15,9;24.0;54;1004;PCS;41,9;8.0;;Bomi BCE Fruit and Vegetable Juice Pet580ml
10010012001;波蜜果菜汁 Pet 580ml;42;28;24;15,8;24.0;54;656;PCS;27,4;404.0;;Honey Fruit and Vegetable Juice Pet 580ml
10010015001;義美寶吉蔬果汁蘋果柳橙 250ml;35;20;13;6,73;24.0;135;850;PCS;35,5;0.0;;Yimei Baoji Vegetable Juice Apple Orange 250ml
10010018001;波蜜果菜汁Can240ml;40;27;10;7,25;24.0;126;3338;PCS;139,1;24.0;;Pome fruit and vegetable juice Can240ml
10010019001;波蜜低卡果菜汁TP250ml;32;17;14;5,1;18.0;180;1568;PCS;87,2;0.0;;Honey low-calorie fruit and vegetable juice TP250ml
10010023001;波蜜100蔬果汁TP160ml;33;16;10;4,31;24.0;210;985;PCS;41,1;6.0;;Bomi 100 vegetable juice TP160ml
10010026001;一日蔬果100葡萄蔬果汁 160ml;33;16;10;4,39;24.0;210;2724;PCS;113,5;204.0;;One Day Fruit and Vegetable 100 Grape and Vegetable Juice 160ml
10010027001;一日蔬果100蘋果柳橙蔬果 160ml;33;16;10;4,34;24.0;210;2288;PCS;95,4;0.0;;One Day Fruit and Vegetable 100 Apples, Oranges and Fruits and Vegetables 160ml
10010029001;可果美蕃果園100蕃茄蘋果汁 200ml;33;16;13;5,4;24.0;147;865;PCS;36,1;0.0;;Kagome Orchard 100 Tomato Apple Juice 200ml
10010030001;可果美蕃果園100綜合蔬果汁 200ml;33;16;13;5,5;24.0;147;496;PCS;20,7;;;Keguomeifan Orchard 100 Comprehensive Vegetable Juice 200ml
10010035001;波蜜BCE果菜汁TP250ml;34;20;11;6,61;24.0;140;15275;PCS;636,5;5958.0;;Bomi BCE fruit and vegetable juice TP250ml
10010042001;義美寶吉蔬果汁葡萄莓果125ml;28;16;9;3,42;24.0;240;1122;PCS;46,8;318.0;;Yimei Baoji Vegetable Juice Grape Berry 125ml
10010043001;義美寶吉蔬果汁蘋果柳橙125ml;28;16;9;3,42;24.0;240;1104;PCS;46;240.0;;Yimei Baoji Vegetable Juice Apple Orange 125ml
10010044001;一日蔬果100水蜜桃蘋果蔬果汁160ml;33;16;10;4,38;24.0;210;1396;PCS;58,2;12.0;;Fruit and Vegetables a Day 100 Peach Apple Vegetable Juice 160ml
10011001001;光泉果汁時刻蘋果汁TP250ml;34;20;11;6,59;24.0;140;7775;PCS;324;6468.0;;Guangquan Juice Moment Apple Juice TP250ml
10011002001;囍瑞100純天然蘋果汁200ml;33;15;12;5,45;24.0;168;243;PCS;10,2;408.0;;Jurui 100 pure natural apple juice 200ml
10011003001;樹頂100純蘋果汁200ml;33;16;13;5,44;24.0;168;12558;PCS;523,3;2370.0;;Tree Top 100 Pure Apple Juice 200ml
10011004001;波蜜一日水果100蘋果汁250ml;31;17;13;2;18.0;147;1024;PCS;56,9;30.0;;Bomi One Day Fruit 100 Apple Juice 250ml
10011007001;囍瑞100純天然蘋果原汁1L;36;20;20;13,28;12.0;60;199;PCS;16,6;14.0;;Jurui 100 pure natural apple juice 1L
10011008001;樹頂100純蘋果汁1000ml;39;17;26;11,38;10.0;68;1200;PCS;120;187.0;;Tree Top 100 Pure Apple Juice 1000ml
10011016001;黑松蘋果C/TP300ml;35;20;13;7,9;24.0;105;11309;PCS;471,3;3912.0;;Black Pine Apple C/TP300ml
10011021001;光泉果汁時刻100蘋果綜合果汁 200ml;33;16;13;5,38;24.0;168;1350;PCS;56,3;936.0;;Guangquan Juice Moment 100 Apple Comprehensive Juice 200ml
10011023001;義美寶吉純果汁蘋果TP125ml;27;16;9;3,41;24.0;253;6798;PCS;283,3;1104.0;;Yimei Baoji pure juice apple TP125ml
10011028001;樹頂100純蘋果汁 300ml;40;27;16;11,36;24.0;70;678;PCS;28,3;112.0;;Tree Top 100 Pure Apple Juice 300ml
10012002001;囍瑞100純天然柳橙原汁1L;36;20;20;13,28;12.0;60;84;PCS;7;9.0;;Jurui 100 pure natural orange juice 1L
10012004001;美粒果柳橙汁Pet1250ml;36;27;30;16,2;12.0;55;6308;PCS;525,7;706.0;;Meiliguo Orange Juice Pet1250ml
10012006001;義美寶吉純果汁柳橙TP125ml;28;16;9;3,4;24.0;253;2842;PCS;118,5;414.0;;Yimei Baoji Pure Juice Orange TP125ml
10012008001;樹頂100純柳橙汁200ml;33;16;13;5,45;24.0;168;1308;PCS;54,5;0.0;;Tree Top 100 Pure Orange Juice 200ml
10012009001;樹頂100純柳橙汁1000ml;29;18;26;11,27;10.0;68;353;PCS;35,3;1.0;;Tree Top 100 Pure Orange Juice 1000ml
10012011001;黑松柳橙C/TP300ml;35;20;13;7,88;24.0;105;9135;PCS;380,7;2850.0;;Black pine orange C/TP300ml
10012899001;美粒果柳橙汁450mlPet;40;27;22;11,88;24.0;70;3369,333333;PCS;140,4;908.0;;Meili Guo Orange Juice 450mlPet
10012907001;光泉果汁時刻100柳橙綜合果汁 200ml;33;16;13;5,34;24.0;168;1566;PCS;65,3;438.0;;Guangquan Juice Moment 100 Orange Comprehensive Juice 200ml
10013003001;黑松葡萄C/TP300ml;35;20;13;7,9;24.0;105;10796;PCS;449,9;3678.0;;Black Pine Grape C/TP300ml
10013004001;囍瑞100純天然紅葡萄原汁1L;36;20;20;13,28;12.0;60;150;PCS;12,5;30.0;;Xirui 100 pure natural red grape juice 1L
10013005001;光泉果汁時刻葡萄汁TP250ml;34;20;11;6,71;24.0;140;6180;PCS;257,5;6570.0;;Guangquan Juice Time Grape Juice TP250ml
10013006001;囍瑞100純天然紅葡萄汁200ml;32;15;13;5,5;24.0;168;149;PCS;6,3;72.0;;Jurui 100 pure natural red grape juice 200ml
10013007001;光泉果汁時刻100葡萄綜合果汁 200ml;33;16;13;5,38;24.0;168;1104;PCS;46;0.0;;Guangquan Juice Moment 100 Grape Comprehensive Juice 200ml
10013011001;波蜜一日水果100葡萄綜合果汁250ml;32;17;13;5;18.0;300;1954;PCS;108,6;0.0;;Bomi One Day Fruit 100 Grape Comprehensive Juice 250ml
10013012001;義美寶吉純果汁葡萄TP125ml;27;16;9;3,41;24.0;253;5952;PCS;248;882.0;;Yimei Baoji Pure Juice Grape TP125ml
10014001001;波蜜100蘋果葡萄汁TP160ml;33;16;10;4,36;24.0;210;322;PCS;13,5;6.0;;Bomi 100 Apple Grape Juice TP160ml
10014005001;鮮剖100椰子汁含椰肉520ml;41;27;18;14,66;24.0;60;542;PCS;22,6;0.0;;Fresh cut 100 coconut juice with coconut meat 520ml
10014006001;樹頂100蜜桃綜合果汁 1L;29;18;26;11,428;10.0;68;66,66666667;PCS;6,7;0.0;;Tree Top 100 Peach Mixed Juice 1L
10014009001;崇德發天然黑麥汁Btl330ml;40;27;17;12,08;24.0;72;4946;PCS;206,1;966.0;;Chongdefa natural rye juice Btl330ml
10014014001;噶瑪蘭麥汁can 310ml;40;27;13;8,85;24.0;99;776;PCS;32,4;132.0;;Kavalan wort can 310ml
10014018001;太陽牌加州梅汁Pet 946ml;38;30;26;23;12.0;40;194;PCS;16,2;217.0;;Sun Brand California Plum Juice Pet 946ml
10014020001;崇德發天然黑麥汁Can330ml;41;17;13;8,92;24.0;99;4959;PCS;206,7;318.0;;Chongdefa natural rye juice Can330ml
10014021001;COCO XIM有機椰子水;33;26;26;13,22;12.0;56;13;PCS;1,1;25.0;;COCO XIM ORGANIC COCONUT WATER
10014023001;優鮮沛綜合果汁蔓越莓TP250ml;35;21;11;6,64;24.0;135;24352;PCS;1014,7;2496.0;;Youxianpei Comprehensive Juice Cranberry TP250ml
10014024001;酷椰嶼椰子汁250ml;35;18;14;6,75;24.0;136;2363;PCS;98,5;180.0;;Cool Coconut Juice 250ml
10014027001;台酒烏梅黑麥汁 Can 330ml;39;27;12;9,05;24.0;100;706;PCS;29,5;18.0;;Taiwanese Wine Plum Black Wort Can 330ml
10014028001;光泉果汁時刻芭芒柳汁TP250ml;34;20;11;6,63;24.0;140;11499;PCS;479,2;3354.0;;Guangquan Juice Moment Parmangan Willow Juice TP250ml
10014029001;椰活100純椰子水 500ml;41;28;18;12,92;24.0;63;2132;PCS;88,9;72.0;;Coconut Live 100 Pure Coconut Water 500ml
10014030001;優鮮沛蔓越莓綜合果汁Pet500ml;42;29;24;13,78;24.0;63;3001;PCS;125,1;164.0;;Excellent Cranberry Comprehensive Juice Pet500ml
10014031001;優鮮沛蔓越莓綜合果汁飲料1000ml;39;17;25;11,32;10.0;75;144;PCS;14,4;8.0;;Excellent Cranberry Comprehensive Juice Drink 1000ml
10014032001;黑松百香果C/TP300ml;35;20;13;7,88;24.0;105;4967;PCS;207;3246.0;;Black Pine Passion Fruit C/TP300ml
10014033001;黑松蜜桃C/TP300ml;35;20;13;7,93;24.0;105;10296;PCS;429;3654.0;;Black Pine Peach C/TP300ml
10014034001;老北京御品酸梅湯TP300ml;35;20;13;7,86;24.0;108;1502;PCS;62,6;18.0;;Old Beijing Imperial Sour Plum Soup TP300ml
10014037001;好聖地100椰子水 350ml;40;27;13;10,08;24.0;90;298;PCS;12,5;12.0;;Good Holy Land 100 Coconut Water 350ml
10014040001;囍瑞100蔓越莓綜合原汁1L;36;20;20;13,67;12.0;60;307;PCS;25,6;60.0;;Xirui 100 Cranberry Comprehensive Original Juice 1L
10014041001;噶瑪蘭檸檬麥汁330ml;39;26;20;13,89;24.0;60;228;PCS;9,5;60.0;;Kavalan lemon wort 330ml
10014043001;囍瑞100覆盆莓綜合原汁1L;36;20;20;13,3;12.0;60;139;PCS;11,6;48.0;;Xirui 100 Raspberry Comprehensive Original Juice 1L
10014044001;SAKI水蜜桃果汁180ML;33;27;12;6,2;30.0;168;189;PCS;6,3;30.0;;SAKI Peach Juice 180ML
10014045001;優鮮沛藍莓綜合果汁飲料 250ml;20;34;12;6,66;24.0;135;2342;PCS;97,6;0.0;;Excellent Blueberry Comprehensive Juice Drink 250ml
10014046001;崇德發天然黑麥汁Btl500ml;27;21;27;10;12.0;90;544;PCS;45,4;12.0;;Chongdefa natural rye juice Btl 500ml
10014048001;囍瑞100芒果綜合果汁1L;36;20;20;13,67;12.0;60;50;PCS;4,2;36.0;;Xirui 100 Mango Comprehensive Juice 1L
10014049001;黑面蔡楊桃汁 580ml;42;28;24;14;24.0;60;205;PCS;8,6;0.0;;Black Noodles Carambola Juice 580ml
10014051001;崇德發易開罐黑麥汁250ml;33;22;13;7;24.0;128;4826;PCS;201,1;576.0;;Chongdefa easy-open can rye juice 250ml
10014053001;好聖地蜂蜜蘆薈露 350ml;41;28;14;10,35;24.0;90;141;PCS;5,9;51.0;;Haoshengdi Honey Aloe Vera 350ml
10014055001;鮮剖100純椰子汁 500ml;39;26;23;13,2;24.0;60;997;PCS;41,6;43.0;;Fresh Cut 100 Pure Coconut Juice 500ml
10014058001;貝思寶兒熱帶水果汁300ml　;40;27;15;11,34;24.0;80;75;PCS;3,2;52.0;;Beth Baby Tropical Fruit Juice 300ml
10014059001;台鳳100％鳳梨純汁Can350ml;40;27;13;10;24.0;90;194;PCS;8,1;36.0;;Tai Feng 100% pineapple pure juice Can350ml
10014062001;囍瑞純天然蔓越莓汁200ml;33;15;13;5,5;24.0;168;221;PCS;9,3;30.0;;Pure Natural Cranberry Juice 200ml
10014067001;愛之味莎莎亞椰奶TP250ml;41;17;14;6,75;24.0;128;1746;PCS;72,8;0.0;;Flavor of Love Sashaya Coconut Milk TP250ml
10014069001;波蜜芭樂汁300ml;35;20;13;7,97;24.0;112;6478;PCS;270;36.0;;Bomi Guava Juice 300ml
10014073001;台酒紅麴黑麥汁Can330 ml;41;27;13;9;24.0;100;1082;PCS;45,1;0.0;;Taiwanese wine red yeast rye juice Can 330 ml
10014074001;德國卡麥隆黑麥汁330ml;41;28;12;8,8;24.0;100;1009;PCS;42,1;324.0;;German Cameron Rye Juice 330ml
10014075001;卡麥隆石榴黑麥汁330ml;41;28;12;8,75;24.0;100;602;PCS;25,1;18.0;;Cameron Pomegranate Rye Juice 330ml
10014076001;德國卡麥隆檸檬黑麥汁330ml;40;28;12;8,95;24.0;100;758;PCS;31,6;300.0;;German Cameron Lemon Rye Juice 330ml
10014080001;樹頂100蔓越莓綜合果汁200ml;41;27;16;12,41;24.0;70;737;PCS;30,8;84.0;;Tree Top 100 Cranberry Mixed Juice 200ml
10014081001;樹頂100石榴莓綜合果汁200ml;41;27;16;12,41;24.0;70;387;PCS;16,2;0.0;;Tree Top 100 Pomegranate Berry Mixed Juice 200ml
10014082001;樹頂100蔓越莓綜合果汁2000ml;38;23;32;17,66;8.0;52;132;PCS;16,5;0.0;;Tree Top 100 Cranberry Mixed Juice 2000ml
10014083001;黑松桂花烏梅汁 900ml;31;23;26;12,1;12.0;75;32;PCS;2,7;120.0;;Black pine, osmanthus and plum juice 900ml
10014084001;優鮮沛藍莓綜合果汁飲料 500ml;41;27;22;13,67;24.0;63;386;PCS;16,1;0.0;;Youxianpei Blueberry Comprehensive Juice Drink 500ml
10014086001;酷椰嶼100純椰子汁350ml;40;27;23;9,372;24.0;70;1364;PCS;56,9;4.0;;Cool Coconut Island 100 Pure Coconut Juice 350ml
10014088001;悅氏御坊烏梅釀1000ml;31;24;27;13,6;12.0;60;160;PCS;13,4;0.0;;Yue's Yufang Black Plum Brewing 1000ml
10014090001;波蜜多果汁TP250ml;35;20;11;6,61;24.0;140;10458;PCS;435,8;6024.0;;Pomido Juice TP250ml
10014092001;美粒果白葡萄加蘆薈Pet1250ml;37;26;28;16,31;12.0;55;938,3333333;PCS;78,2;614.0;;Meiliguo White Grape and Aloe Vera Pet1250ml
10014093001;龍泉金鑽健康麥汁黑麥風味320ml;42;29;19;15;24.0;54;54;PCS;2,3;0.0;;Longquan Golden Diamond Healthy Wort Rye Flavor 320ml
10014094001;崇德發黑麥烏梅汁 520ml;42;28;24;14,32;24.0;63;218;PCS;9,1;56.0;;Chongdefa Rye Plum Juice 520ml
10014097001;老北京酸梅湯Pet900ml;30;23;24;12,18;12.0;64;86;PCS;7,2;3.0;;Old Beijing Sour Plum Soup Pet900ml
10014101001;義美酸梅湯250ml;35;20;11;6,71;24.0;135;4531;PCS;188,8;372.0;;Yimei Sour Plum Soup 250ml
10014102001;龍泉金鑽黑麥汁Can330ml;40;27;12;9,296;24.0;99;264;PCS;11;0.0;;Longquan Golden Diamond Rye Juice Can 330ml
